0	5.0
1	5.0
10	5.0
100	5.0
1000	5.0
10000	5.0
100000	5.0
100001	5.0
100002	5.0
100003	5.0
100004	5.0
100005	5.0
100006	5.0
100007	5.0
100008	5.0
100009	5.0
10001	5.0
100010	5.0
100012	5.0
100013	5.0
100014	5.0
100017	5.0
100018	5.0
10002	5.0
100020	5.0
100021	5.0
100022	5.0
100023	5.0
100024	5.0
100025	5.0
100026	5.0
100027	5.0
100028	5.0
100029	5.0
10003	5.0
100030	5.0
100031	5.0
100032	5.0
100036	5.0
100037	5.0
100038	5.0
100039	5.0
10004	5.0
100040	5.0
100041	5.0
100042	5.0
100043	5.0
100044	5.0
100045	5.0
100046	5.0
100047	5.0
100048	5.0
100049	5.0
10005	5.0
100050	5.0
100051	5.0
100052	5.0
100053	5.0
100054	5.0
100055	5.0
100056	5.0
100057	5.0
100058	5.0
100059	5.0
10006	5.0
100061	5.0
100062	5.0
100063	5.0
100064	5.0
100065	5.0
100067	5.0
100068	5.0
100069	5.0
10007	5.0
100070	5.0
100071	5.0
100072	5.0
100073	5.0
100074	5.0
100075	5.0
100076	5.0
100077	5.0
100078	5.0
100079	5.0
10008	5.0
100080	5.0
100081	5.0
100082	5.0
100083	5.0
100084	5.0
100085	5.0
100086	5.0
100087	5.0
100088	5.0
100089	5.0
10009	5.0
100090	5.0
100091	5.0
100092	5.0
100093	5.0
100094	5.0
100095	5.0
100096	5.0
100097	5.0
100098	5.0
100099	5.0
1001	5.0
10010	5.0
100100	5.0
100101	5.0
100102	5.0
100105	5.0
100106	5.0
100107	5.0
100108	5.0
100109	5.0
10011	5.0
100110	5.0
100111	5.0
100112	5.0
100113	5.0
100114	5.0
100115	5.0
100116	5.0
100117	5.0
100118	5.0
100119	5.0
10012	5.0
100120	5.0
100121	5.0
100122	5.0
100124	5.0
100125	5.0
100126	5.0
100128	5.0
100129	5.0
10013	5.0
100130	5.0
100131	5.0
100132	5.0
100133	5.0
100134	5.0
100135	5.0
100137	5.0
100138	5.0
100139	5.0
10014	5.0
100141	5.0
100142	5.0
100143	5.0
100145	5.0
100146	5.0
100147	5.0
100148	5.0
100149	5.0
10015	5.0
100150	5.0
100151	5.0
100152	5.0
100153	5.0
100154	5.0
100155	5.0
100156	5.0
100157	5.0
100158	5.0
100159	5.0
10016	5.0
100160	5.0
100161	5.0
100162	5.0
100163	5.0
100164	5.0
100166	5.0
100167	5.0
100168	5.0
100169	5.0
10017	5.0
100170	5.0
100171	5.0
100172	5.0
100173	5.0
100174	5.0
100175	5.0
100176	5.0
100177	5.0
100178	5.0
100179	5.0
10018	5.0
100180	5.0
100181	5.0
100182	5.0
100183	5.0
100184	5.0
100185	5.0
100186	5.0
100187	5.0
100188	5.0
100189	5.0
10019	5.0
100190	5.0
100191	5.0
100192	5.0
100193	5.0
100194	5.0
100195	5.0
100196	5.0
100197	5.0
100198	5.0
100199	5.0
10020	5.0
100200	5.0
100201	5.0
100202	5.0
100203	5.0
100204	5.0
100205	5.0
100207	5.0
100208	5.0
100209	5.0
10021	5.0
100210	5.0
100211	5.0
100212	5.0
100213	5.0
100214	5.0
100215	5.0
100216	5.0
100217	5.0
100218	5.0
100219	5.0
10022	5.0
100220	5.0
100221	5.0
100222	5.0
100224	5.0
100225	5.0
100226	5.0
100227	5.0
100228	5.0
100229	5.0
100230	5.0
100231	5.0
100232	5.0
